,CU(%),CU(%),CU(%),CU(%),CU(%),AU(PPM),AU(PPM),AU(PPM),AU(PPM),AU(PPM)
Furo 356,8.76,,8.76,8.76,1,0.2881,,0.2881,0.2881,1
Furo 357,10.828,,10.828,10.828,1,1.1749,,1.1749,1.1749,1
Furo 358,13.926,,13.926,13.926,1,1.0047,,1.0047,1.0047,1
Furo 359,6.466,,6.466,6.466,1,0.0768,,0.0768,0.0768,1
Furo 360,8.895,,8.895,8.895,1,0.9388,,0.9388,0.9388,1
Furo 361,5.092,,5.092,5.092,1,0.4297,,0.4297,0.4297,1
Furo 362,6.131,,6.131,6.131,1,2.9224,,2.9224,2.9224,1
Furo 363,7.678,,7.678,7.678,1,0.1981,,0.1981,0.1981,1
Furo 364,6.494,,6.494,6.494,1,0.2317,,0.2317,0.2317,1
Furo 365,2.354,,2.354,2.354,1,0.0108,,0.0108,0.0108,1
Furo 366,7.828,,7.828,7.828,1,0.6393,,0.6393,0.6393,1
Furo 367,2.273,,2.273,2.273,1,0.0086,,0.0086,0.0086,1
Furo 368,7.229,,7.229,7.229,1,0.6961,,0.6961,0.6961,1
Furo 369,9.745,,9.745,9.745,1,0.6641,,0.6641,0.6641,1
Furo 370,5.122,,5.122,5.122,1,0.1448,,0.1448,0.1448,1
Furo 371,12.158,,12.158,12.158,1,1.4461,,1.4461,1.4461,1
Furo 372,6.871,,6.871,6.871,1,2.3515,,2.3515,2.3515,1
Furo 373,12.599,,12.599,12.599,1,1.2576,,1.2576,1.2576,1
Furo 374,6.875,,6.875,6.875,1,0.3732,,0.3732,0.3732,1
Furo 375,4.719,,4.719,4.719,1,0.0318,,0.0318,0.0318,1
Furo 376,5.121,,5.121,5.121,1,0.1961,,0.1961,0.1961,1
Furo 377,9.639,,9.639,9.639,1,1.21,,1.21,1.21,1
Furo 378,8.74,,8.74,8.74,1,1.0313,,1.0313,1.0313,1
Furo 379,5.824,,5.824,5.824,1,0.117,,0.117,0.117,1
Furo 380,5.532,,5.532,5.532,1,0.3605,,0.3605,0.3605,1
Furo 381,9.373,,9.373,9.373,1,1.4955,,1.4955,1.4955,1
Furo 382,8.836,,8.836,8.836,1,1.3368,,1.3368,1.3368,1
Furo 383,8.799,,8.799,8.799,1,0.9653,,0.9653,0.9653,1
Furo 384,2.684,,2.684,2.684,1,0.1044,,0.1044,0.1044,1
Furo 385,6.515,,6.515,6.515,1,1.9577,,1.9577,1.9577,1
Furo 386,3.864,,3.864,3.864,1,0.0882,,0.0882,0.0882,1
Furo 387,3.332,,3.332,3.332,1,0.0635,,0.0635,0.0635,1
Furo 388,3.392,,3.392,3.392,1,0.335,,0.335,0.335,1
Furo 389,6.003,,6.003,6.003,1,0.6476,,0.6476,0.6476,1
Furo 390,5.952,,5.952,5.952,1,1.457,,1.457,1.457,1
Furo 391,8.096,,8.096,8.096,1,0.9558,,0.9558,0.9558,1
Furo 392,2.933,,2.933,2.933,1,0.0677,,0.0677,0.0677,1
Furo 393,6.973,,6.973,6.973,1,0.4445,,0.4445,0.4445,1
Furo 394,5.159,,5.159,5.159,1,1.5938,,1.5938,1.5938,1
Furo 395,6.132,,6.132,6.132,1,0.2776,,0.2776,0.2776,1
Furo 396,6.653,,6.653,6.653,1,1.962,,1.962,1.962,1
Furo 397,8.136,,8.136,8.136,1,2.2798,,2.2798,2.2798,1
Furo 398,1.748,,1.748,1.748,1,0.002,,0.002,0.002,1
Furo 399,8.918,,8.918,8.918,1,0.6357,,0.6357,0.6357,1
Furo 400,6.996,,6.996,6.996,1,1.5478,,1.5478,1.5478,1
Furo 401,0.395,,0.395,0.395,1,0.0003,,0.0003,0.0003,1
Furo 402,9.156,,9.156,9.156,1,0.6348,,0.6348,0.6348,1
Furo 403,5.84,,5.84,5.84,1,0.0974,,0.0974,0.0974,1
Furo 404,6.1,,6.1,6.1,1,0.3193,,0.3193,0.3193,1
Furo 405,5.668,,5.668,5.668,1,0.1002,,0.1002,0.1002,1
Furo 406,0.381,,0.381,0.381,1,-99.0,,-99.0,-99.0,1
Furo 407,4.83,,4.83,4.83,1,0.105,,0.105,0.105,1
Furo 408,5.426,,5.426,5.426,1,0.1386,,0.1386,0.1386,1
Furo 409,9.593,,9.593,9.593,1,0.4667,,0.4667,0.4667,1
Furo 410,6.319,,6.319,6.319,1,0.2611,,0.2611,0.2611,1
Furo 411,9.283,,9.283,9.283,1,2.2525,,2.2525,2.2525,1
Furo 412,4.31,,4.31,4.31,1,0.0486,,0.0486,0.0486,1
Furo 413,6.723,,6.723,6.723,1,0.6055,,0.6055,0.6055,1
Furo 414,10.034,,10.034,10.034,1,0.4254,,0.4254,0.4254,1
Furo 415,8.764,,8.764,8.764,1,0.9378,,0.9378,0.9378,1
Furo 416,7.341,,7.341,7.341,1,0.5893,,0.5893,0.5893,1
Furo 417,3.66,,3.66,3.66,1,0.1102,,0.1102,0.1102,1
Furo 418,2.965,,2.965,2.965,1,0.0791,,0.0791,0.0791,1
Furo 419,10.692,,10.692,10.692,1,0.3764,,0.3764,0.3764,1
Furo 420,8.043,,8.043,8.043,1,0.6746,,0.6746,0.6746,1
Furo 421,7.311,,7.311,7.311,1,1.3633,,1.3633,1.3633,1
Furo 422,3.181,,3.181,3.181,1,0.0796,,0.0796,0.0796,1
Furo 423,2.386,,2.386,2.386,1,0.4883,,0.4883,0.4883,1
Furo 424,4.289,,4.289,4.289,1,0.1612,,0.1612,0.1612,1
Furo 425,7.344,,7.344,7.344,1,1.2361,,1.2361,1.2361,1
Furo 426,4.291,,4.291,4.291,1,0.1523,,0.1523,0.1523,1
Furo 427,5.974,,5.974,5.974,1,0.397,,0.397,0.397,1
Furo 428,4.426,,4.426,4.426,1,1.6964,,1.6964,1.6964,1
Furo 429,7.652,,7.652,7.652,1,0.7798,,0.7798,0.7798,1
Furo 430,6.055,,6.055,6.055,1,0.9348,,0.9348,0.9348,1
Furo 431,7.959,,7.959,7.959,1,1.5883,,1.5883,1.5883,1
Furo 432,2.35,,2.35,2.35,1,0.0189,,0.0189,0.0189,1
Furo 433,5.62,,5.62,5.62,1,0.0853,,0.0853,0.0853,1
Furo 434,4.114,,4.114,4.114,1,0.034,,0.034,0.034,1
Furo 435,6.967,,6.967,6.967,1,0.3562,,0.3562,0.3562,1
Furo 436,7.909,,7.909,7.909,1,0.6073,,0.6073,0.6073,1
Furo 437,6.965,,6.965,6.965,1,0.3578,,0.3578,0.3578,1
Furo 438,6.873,,6.873,6.873,1,0.8934,,0.8934,0.8934,1
Furo 439,5.975,,5.975,5.975,1,0.9973,,0.9973,0.9973,1
Furo 440,4.374,,4.374,4.374,1,0.3872,,0.3872,0.3872,1
Furo 441,3.174,,3.174,3.174,1,0.7617,,0.7617,0.7617,1
Furo 442,4.707,,4.707,4.707,1,5.1901,,5.1901,5.1901,1
Furo 443,4.987,,4.987,4.987,1,0.1018,,0.1018,0.1018,1
Furo 444,7.787,,7.787,7.787,1,1.354,,1.354,1.354,1
Furo 445,5.233,,5.233,5.233,1,0.1175,,0.1175,0.1175,1
Furo 446,6.171,,6.171,6.171,1,0.2002,,0.2002,0.2002,1
Furo 447,3.955,,3.955,3.955,1,0.0284,,0.0284,0.0284,1
Furo 448,5.189,,5.189,5.189,1,0.113,,0.113,0.113,1
Furo 449,3.837,,3.837,3.837,1,0.0129,,0.0129,0.0129,1
Furo 450,7.041,,7.041,7.041,1,0.126,,0.126,0.126,1
Furo 451,5.623,,5.623,5.623,1,0.9086,,0.9086,0.9086,1
Furo 452,6.553,,6.553,6.553,1,0.349,,0.349,0.349,1
Furo 453,8.236,,8.236,8.236,1,0.5484,,0.5484,0.5484,1
Furo 454,8.477,,8.477,8.477,1,0.7014,,0.7014,0.7014,1
Furo 455,6.075,,6.075,6.075,1,0.7232,,0.7232,0.7232,1
Furo 456,4.912,,4.912,4.912,1,0.5653,,0.5653,0.5653,1
Furo 457,3.195,,3.195,3.195,1,0.1542,,0.1542,0.1542,1
Furo 458,5.94,,5.94,5.94,1,0.2892,,0.2892,0.2892,1
Furo 459,4.335,,4.335,4.335,1,0.2541,,0.2541,0.2541,1
Furo 460,2.096,,2.096,2.096,1,0.004,,0.004,0.004,1
Furo 461,5.338,,5.338,5.338,1,0.1273,,0.1273,0.1273,1
Furo 462,5.924,,5.924,5.924,1,0.4194,,0.4194,0.4194,1
Furo 463,4.787,,4.787,4.787,1,0.1419,,0.1419,0.1419,1
Furo 464,6.602,,6.602,6.602,1,1.4248,,1.4248,1.4248,1
Furo 465,8.322,,8.322,8.322,1,0.5122,,0.5122,0.5122,1
Furo 466,2.425,,2.425,2.425,1,0.0156,,0.0156,0.0156,1
Furo 467,1.612,,1.612,1.612,1,0.0261,,0.0261,0.0261,1
Furo 468,6.26,,6.26,6.26,1,0.9597,,0.9597,0.9597,1
Furo 469,8.001,,8.001,8.001,1,1.6815,,1.6815,1.6815,1
Furo 470,4.826,,4.826,4.826,1,0.4762,,0.4762,0.4762,1
